x,z
how to set cuda stream by call Aten function,"1. CUDAStreamGuard will reset the stream to the previously used stream once it goes out of scope, if instead you are using stream manually, you may forget to change it back, thus unexpectedly changing current stream for the user. \r\n2. Using setCurrentCUDAStream won't influence operations running on other streams. You need to make sure though that the default stream is synchronized with the stream your operation is running on. In many cases, using concurrent streams does not provide appreciable benefits."
`enable_grad` context doesn't work as expected in backward function of torch.autograd.Function,"Thanks for the report, I will take a look why this happens. It might simply be that we don't restore the status in `autograd.grad` properly."
dyld: Library not loaded: /usr/local/opt/openssl/lib/libssl.1.0.0.dylib Referenced from: /usr/local/bin/sccache,"For posterity this is what CircleCI responded with:\r\n\r\n----\r\n\r\nWe have looked into this issue and have found that this is being caused by a dependency conflict.\r\n\r\nTo install libomp requires the following dependencies (taken from the build log):\r\n\r\n==> Installing dependencies for libomp: pkg-config, gdbm, openssl@1.1, readline, sqlite, xz, python, sphinx-doc and cmake\r\nThis package is specifically installing OpenSSL 1.1 and higher. When homebrew installs OpenSSL, it will change the symlinks in \r\n/usr/local/opt/openssl/ to point to the latest version (which truly resides in \r\n/usr/local/opt/openssl@1.1). This in turns means the file \r\n/usr/local/opt/openssl/lib/libssl.1.0.0.dylib is no longer in that directory as it has been replaced by \r\nlibssl.1.1.dylib.\r\n\r\nThe previous version of OpenSSL (1.0) can be found in \r\n/usr/local/opt/openssl@1.0/ which is where the previous version of the dylib, which is trying to be used, can be found (libssl.1.0.0.dylib).\r\n\r\nYour script seems to be using something that is trying to specifically use this version of the dylib. Best practise would be to instead use \r\n/usr/local/opt/openssl/lib/libssl.dylib which will always point to the latest version of openssl as it is not requesting a specific version. You may need to check the dependencies of the packages you are using and make sure to pin specific versions of these packages to prevent this kind of conflict.\r\n\r\nDo you know if any packages you use have been updated recently?"
[v1.4.0] Release Tracker,Will 1.4.0 support Python 3.8?\r\n\r\n<hr>\r\n\r\nFrom https://github.com/pytorch/pytorch/issues/21741#issuecomment-541242504 it looks like it will.
Distributed Using Gloo on Multiple Nodes Does not Work,"I think that would create problems with the ranks. For worker_id 0, the ranks would be 0 and 1 and for worker_id 1 the ranks would be 1 and 2. Can you try with worker ids 0 and 2? Your ranks should be 0, 1, 2, 3 for world size 4."
The guidelines for loading a PyTorch model in C++ do not work on Windows,You'll need to copy the PDBs along with your executable.
Meta file not found or corrupted.,"Is this what you mean:\r\n```\r\nimport torchvision.datasets as datasets\r\ninput_transform = None\r\ndatasets.imagenet.ARCHIVE_DICT['devkit']['url'] = \""https://github.com/goodclass/PythonAI/raw/master/imagenet/ILSVRC2012_devkit_t12.tar.gz\""\r\nimagenet = datasets.ImageNet(\""/dataset-imagenet-ilsvrc2012/\"", split=\""val\"", transform=input_transform, target_transform=None, download=False)\r\n```"
Fix 1.3.1 branch submodule fbjni dependency,"Now that this has stayed unchanged for longer and `v1.5.0` is out, moving the tag seems less needed and less attractive (EDIT: and it can always still be done in the future). \r\n\r\nI propose to close this - will do so next week unless someone disagrees."
Connection closed by peer when using L-BFGS and distributed computing (gloo),"Excellent!

It should be possible to come up with an optimizer that is distributed-aware, where all these decisions are made globally instead of by a single machine. Then you can use it in a distributed setting, but will have to average losses, or pick one of the machines are the primary."
"`torch.Size` is tranfered to`torch.Tensor`, values don't equal",`torch.Tensor(shape)` creates an empty tensor of shape `shape`. Don't use deprecated uppercase `Tensor`. Use `torch.tensor(shape)` to create a tensor containing the same value as `shape`.
"Why when I use torch.cuda.empty_cache(), it cost some gpu memory on other device?","@peterzpy see [here](https://discuss.pytorch.org/t/out-of-memory-when-i-use-torch-cuda-empty-cache/57898/3) and [here](https://github.com/pytorch/pytorch/issues/25752#issuecomment-528866347) for a solution. Basically, you need to specify the gpu device, before calling to `empty_cache`."
Ruby Library,Also added a Homebrew formula so users can now do:\r\n\r\n```sh\r\nbrew install libtorch\r\n```\r\n\r\nhttps://github.com/Homebrew/homebrew-core/pull/47222
[jit] Spurious error when type comments are found in the body of a function.,Oh sorry I see it has been fixed.
[jit] Cannot create a `Tuple[List[T]]`,"This is expected behavior. In python tuple(x) would return a tuple of [T, ...] which is an unknown length. In the second example you're creating a Tuple[List[T]], which has a fixed length so we can compile it."
RuntimeError: stack.size() >= num_inputs INTERNAL ASSERT FAILED,Closed with #31724
failed to convert torch.jit.ScriptModule to ONNX (crash),"@linronmo, as I explained above, the change for flatten could only be done for opset 11.
So you can export your model in opset_version=11, for that, you should use the parameter opset_version=11 in the exporter api with PyTorch nighly: torch.onnx.export(..., opset_version=11)."
[Bug report] RuntimeError: backward_input can only be called in training mode,"@simon555 You only set training mode before the loop, but set eval mode in generate_predictions, which is called in the middle of the loop. So iterations after generate_predictions will fail."
[Caffe2] Windows build errors in generated file caffe2.pb.h,I remember I've seen this issue before.\r\n\r\nIt's related to a funny combination of `nvcc` and `protobuf` actually if my memory is correct.\r\n`PROTOBUF_CONSTEXPR` is defined to constexpr.\r\nHowever in nvcc 9.1 you need to get rid of it in order to do in-place initialization.\r\n\r\nSo...the solution is to patch protobuf...\r\n\r\nBTW this issue is on protobuf 3.5.\r\n`master` branch of protobuf should not have this issue but it has something else...
[feature request] Untied biases for nn.Conv?d,"\r\n@lzamparo this should work for you for untied bias:\r\n\r\n```python\r\nimport torch.nn as nn\r\nimport torch.nn.functional as F\r\nfrom torch.nn.modules.utils import _pair\r\n\r\nclass Conv2dUntiedBias(nn.Module):\r\n def __init__(self, height, width, in_channels, out_channels, kernel_size, stride=1, padding=0, dilation=1, groups=1):\r\n kernel_size = _pair(kernel_size)\r\n stride = _pair(stride)\r\n padding = _pair(padding)\r\n dilation = _pair(dilation)\r\n\r\n if in_channels % groups != 0:\r\n raise ValueError('in_channels must be divisible by groups')\r\n if out_channels % groups != 0:\r\n raise ValueError('out_channels must be divisible by groups')\r\n self.in_channels = in_channels\r\n self.out_channels = out_channels\r\n self.kernel_size = kernel_size\r\n self.stride = stride\r\n self.padding = padding\r\n self.dilation = dilation\r\n self.groups = groups\r\n self.weight = Parameter(torch.Tensor(\r\n out_channels, in_channels // groups, *kernel_size))\r\n self.bias = Parameter(torch.Tensor(out_channels, height, width))\r\n self.reset_parameters()\r\n\r\n def reset_parameters(self):\r\n n = self.in_channels\r\n for k in self.kernel_size:\r\n n *= k\r\n stdv = 1. / math.sqrt(n)\r\n self.weight.data.uniform_(-stdv, stdv)\r\n self.bias.data.uniform_(-stdv, stdv)\r\n\r\n\r\n def forward(self, input):\r\n output = F.conv2d(input, self.weight, None, self.stride,\r\n self.padding, self.dilation, self.groups)\r\n # add untied bias\r\n output += self.bias.unsqueeze(0).repeat(input.size(0), 1, 1, 1)\r\n```"
Segmentation fault on importing torch,"I assume `pip install git+https://github.com/mwydmuch/ViZDoom` compiles ViZDoom, correct? In that case, since your system compiler is GCC 4.84, it will be incompatible with PyTorch bindings, since we compile with GCC 4.9 and the two are ABI incompatible, which leads to segfaults.\r\n\r\nYou should either:\r\nA) Compile PyTorch from source, with your system compiler. Then both projects will have been compiled with the same compiler and the problem goes away.\r\nB) Install GCC 4.9 ([see instructions here](https://gist.github.com/goldsborough/d466f43e8ffc948ff92de7486c5216d6)) and set the `CXX` environment variable before compiling VizDoom (`export CXX=g++-4.9`). Then VizDoom should be compiled with the same compiler as PyTorch and the problem should go away.\r\n\r\nEither way, you have to make sure both are compiled with the same compiler version."
[feature request] [pytorch] Convenience method for doing unsqueeze / squeeze several times,"Why not using numpy manner? \r\n`x[..., None, None]` and `x[..., 0,0]` for your example"
np.repeat vs torch.repeat,"Easiest thing to do for now is to add a warning to the docs. One day we'll probably re-visit the all the differences between the Numpy API and pytorch API, but for now, just changing repeat might be disruptive to our users.

Feel free to submit a pull request @PetrochukM (otherwise, I can submit one)."
documentation for sparse tensor creation after 0.4.0 update,You want `torch.sparse_coo_tensor` -- I haven't checked if we've documented it properly.
[JIT]torch._C._infer_size throws an exception when traced,"Got it! I think this should work fine for most of our use cases, since this is only called when distribution instances are being constructed, after which the parameters are frozen and should have a fixed shape. One possible downside might be that we will need to pass tensors with the correct shape in the torch.trace annotation, and that can get tricky if it depends on the minibatch size. So eventually, it will be nice to have a more generic support for JIT. cc. @fritzo, @eb8680."
question: where (if) are the caffe2 libraries?,Caffe2 only has packages in conda at the moment. 'conda install -c caffe2 caffe2' will install the Caffe2 libraries into an Anaconda env; they will be linked against other libraries in the Anaconda env as well.
failed to move parameters to GPU,or make self.conv = nn.ModuleList()
"Inconsistent behavior of F.conv2d(...,padding) and F.pad",Got it. I think you mean `torch.backends.cudnn.deterministic=True`
"[Caffe2] ld: can't map file, errno=22 file '/usr/local/cuda/lib/stubs/cuda.framework' for architecture x86_64","You'll need to do a clean build from scratch. Also, you'll still need a cuda.framework fix of some sort or another. Working on a more robust version of this fix."
ThnnConv2DBackward' object has no attribute 'padding',@kyuusaku you can trace a model accurately with pytorch and get the graph.\r\nFor example:\r\n\r\n```\r\ntraced_model = torch.jit.trace(input)(model)\r\nfwd = traced_model._get_method('forward')\r\nprint(fwd.graph)\r\n```
"[feature request] Clarify document to avoid \""Error Importing cuda extension\""","Once your extension is built, you can simply import it in Python, using the name you specified in your setup.py script. Just be sure to import torch first, as this will resolve some symbols that the dynamic linker must see:"
RuntimeError: cuda runtime error (30) : unknown error at /pytorch/aten/src/THC/THCGeneral.cpp:70,is there something in your LD_LIBRARY_PATH that might override general RPATH? For example do you have cuda 9.2 in your LD_LIBRARY_PATH?
[feature request] [pytorch] Truncated SVD,"LOBPCG is expected to outperform randomized SVD (based on power iteration), see\r\nhttps://github.com/scikit-learn/scikit-learn/pull/12319\r\n\r\nLOBPCG is already available in CUDA and MAGMA, so may be not so difficult to add it to PyTorch."
[pytorch] [feature request] Add torch.broadcast (e.g. for using with torch.stack),"We have a helper `torch.distributions.utils.broadcast_all()` that should allow you to\r\n```py\r\ntorch.stack(broadcast_all(a, b))\r\n```"
Python interpreter died without Traceback when CPU Tensor divided by zero.,"As tricky as this may be to fix, it's still a bug in a very real sense. Allowing C errors to creep into Python code is the result of a leaky abstraction."
Inconsistent gradient results in F.grid_sample using torch.autograd.grad with create_graph=True," confirmed with @apaszke as well that this is expected behavior.

He says:

because create_graph=True, this is expected.
In the a+b case, basically the gradient of the gradient (wrt parameters) is all 0, which means it doesn’t require grad, because it effectively never touched a single variable that does require grad."
AttributeError: module 'torch._C' has no attribute '_TensorBase',Can you try uninstall and reinstall? I'm assuming that you built from source. Can you also check if you have binary pytorch installed?
Feature request: Object detection model zoo,Torchvision now has models for object detection and semantic segmentation officially supported
"dynamically change tensor with requires_grad=False by \""+=\"" cause error but \""+\"" doesn't","`x = x + y` is something very different from `x += y` for Python semantics. The latter creates a new variable, the former modifies the variable in place."
ASSERT FAILED at /pytorch/aten/src/ATen/core/jit_type.h:128 [bug],"> @sndnyang, please try `pip install tb-nightly` for now (it should get to the release channel soon) to get 1.14 and then try again. Let me know if that works for you.\r\n\r\n@orionr , Hi, the same question when I run ` dummy_input = (torch.zeros(2, 1, 28, 28),); writer.add_graph(MLP(None), dummy_input, True)`\r\n\r\n```\r\n~/project/other/DLCodeSnippet/venv/lib/python3.6/site-packages/torch/onnx/symbolic.py in batch_norm(g, input, weight, bias, running_mean, running_var, training, momentum, eps, cudnn_enabled)\r\n 994 weight_value = torch.tensor([1.] * input_sizes[1]).type(\r\n--> 995 'torch.' + input.type().scalarType() + 'Tensor')\r\n 996 weight = g.op(\""Constant\"", value_t=weight_value)\r\n\r\nRuntimeError: r ASSERT FAILED at /pytorch/aten/src/ATen/core/jit_type.h:142, please report a bug to PyTorch. (expect at /pytorch/aten/src/ATen/core/jit_type.h:142)\r\nframe #0: std::function<std::string ()>::operator()() const + 0x11 (0x7ffaf01c9441 in /home/xyang2/project/other/DLCodeSnippet/venv/lib/python3.6/site-packages/torch/lib/libc10.so)\r\nframe #1: c10::Error::Error(c10::SourceLocation, std::string const&) + 0x2a (0x7ffaf01c8d7a in \r\n```\r\n\r\nand what's more (I'm not sure if it's an issue) after the previous exception.\r\n\r\n```\r\nDuring handling of the above exception, another exception occurred:\r\n\r\nNameError Traceback (most recent call last)\r\n<ipython-input-6-0645dc03db09> in <module>\r\n 1 dummy_input = (torch.zeros(2, 1, 28, 28),)\r\n----> 2 writer.add_graph(MLP(None), dummy_input, True)\r\n\r\n~/project/other/DLCodeSnippet/venv/lib/python3.6/site-packages/torch/utils/tensorboard/writer.py in add_graph(self, model, input_to_model, verbose, **kwargs)\r\n 532 print('add_graph() only supports PyTorch v0.2.')\r\n 533 return\r\n--> 534 self._get_file_writer().add_graph(graph(model, input_to_model, verbose, **kwargs))\r\n 535 else:\r\n 536 # Caffe2 models do not have the 'forward' method\r\n\r\n~/project/other/DLCodeSnippet/venv/lib/python3.6/site-packages/torch/utils/tensorboard/_pytorch_graph.py in graph(model, args, verbose, operator_export_type, omit_useless_nodes)\r\n 301 # and we don't want graph visualization to fail in this case. In this\r\n 302 # case we'll log the warning and display the non-optimized graph.\r\n--> 303 logging.warn(ImportError(e))\r\n 304 graph = trace.graph()\r\n 305 if verbose:\r\n\r\nNameError: name 'logging' is not defined\r\n```\r\nThank you so much!\r\n\r\nBy the way(again), for using the writer, I had to install two packages, future(for the missing of past) and pillow (for the PIL) maybe because of my python is python3..."
python setup.py install failed. undefined references,We had the same issue. Problem was the version of MKL which was not good. Just running:\r\n\r\n```\r\nconda remove mkl mkl-include\r\nconda install numpy pyyaml mkl=2019.3 mkl-include setuptools cmake cffi typing\r\n```\r\n\r\nbefore the installation fixed the issue.
THCudaCheck FAIL file=..\\aten\\src\\THC\\THCGeneral.cpp line=87 error=30 : unknown error,somehow restarting my machine fixed this issue. using torch v1.1.0
"[OSX] pip package does not ship MKL, RuntimeError: fft: ATen not compiled with MKL support","Here's a complete reproducer:\r\n```\r\nconda create python=3.7 -n pytorch-pip-macos --yes\r\nconda activate pytorch-pip-macos\r\nconda install pip numpy ninja pyyaml mkl mkl-include setuptools cmake cffi typing --yes\r\npip install torch\r\npython -c \""import torch; torch.fft(torch.randn(3,12,12,2), 2)\""\r\n```\r\n\r\nThat will result in:\r\n```\r\n...\r\nInstalling collected packages: torch\r\nSuccessfully installed torch-1.2.0\r\nTraceback (most recent call last):\r\n File \""<string>\"", line 1, in <module>\r\nRuntimeError: fft: ATen not compiled with MKL support\r\n```\r\n\r\nThe 1.2.0 wheel is linking against `Accelerate` rather than `MKL`:\r\n```\r\n$ otool -L ~/anaconda3/envs/pytorch-pip-macos/lib/python3.7/site-packages/torch/lib/libtorch.dylib \r\n/Users/rgommers/anaconda3/envs/pytorch-pip-macos/lib/python3.7/site-packages/torch/lib/libtorch.dylib:\r\n\t@rpath/libtorch.dylib (compatibility version 0.0.0, current version 0.0.0)\r\n\t/System/Library/Frameworks/Accelerate.framework/Versions/A/Accelerate (compatibility version 1.0.0, current version 4.0.0)\r\n\t/usr/lib/libSystem.B.dylib (compatibility version 1.0.0, current version 1252.0.0)\r\n\t@rpath/libc10.dylib (compatibility version 0.0.0, current version 0.0.0)\r\n\t/usr/lib/libc++.1.dylib (compatibility version 1.0.0, current version 400.9.0)\r\n```\r\n\r\nThe 1.2.0 conda package does link against `MKL`:\r\n```\r\npip uninstall torch\r\nconda install pytorch -c pytorch\r\npython -c \""import torch; torch.fft(torch.randn(3,12,12,2), 2)\"" # passes\r\n```\r\n```\r\n$ otool -L ~/anaconda3/envs/pytorch-pip-macos/lib/python3.7/site-packages/torch/lib/libtorch.dylib \r\n/Users/rgommers/anaconda3/envs/pytorch-pip-macos/lib/python3.7/site-packages/torch/lib/libtorch.dylib:\r\n\t@rpath/libtorch.dylib (compatibility version 0.0.0, current version 0.0.0)\r\n\t@rpath/libmkl_intel_lp64.dylib (compatibility version 0.0.0, current version 0.0.0)\r\n\t@rpath/libmkl_intel_thread.dylib (compatibility version 0.0.0, current version 0.0.0)\r\n\t@rpath/libmkl_core.dylib (compatibility version 0.0.0, current version 0.0.0)\r\n\t@rpath/libiomp5.dylib (compatibility version 5.0.0, current version 5.0.0)\r\n\t/usr/lib/libSystem.B.dylib (compatibility version 1.0.0, current version 1252.0.0)\r\n\t@rpath/libc10.dylib (compatibility version 0.0.0, current version 0.0.0)\r\n\t/usr/lib/libc++.1.dylib (compatibility version 1.0.0, current version 400.9.0)\r\n```\r\n\r\nI'm assuming the use of `Accelerate` in the wheels is unwanted, it should be using `MKL` for everything?"
torchfile.T7ReaderException: unknown object type / typeidx: -1112529805,"Please try appending the parameter long_size like this `load_lua(....., long_size=8)`."
RuntimeError: CUDA error: unknown error,I had exactly the same issue. i got it fixed by installing the right pytorch version for my 10.1 CUDA with:\r\n`conda install pytorch torchvision cudatoolkit=10.1 -c pytorch`\r\ninstead of installing it with the installtion snippet generated for me by pytorch website:\r\n`conda install pytorch torchvision cudatoolkit=10.0 -c pytorch`\r\n
optim.lr_scheduler.CyclicLR (master only: not released) is buggy when not using momentum,"I think you are correct, if you indent the second and third to last lines in the init it works."
Different deterministic behavior between CPU and CUDA for orthogonal initialization,"This is expected. We do not guarantee that the random sequences generated on different devices will look the same. For performance reasons they are likely using different pseudo random generators, so it's almost impossible to make them equal."
Loss explosion with DataParallel on WGAN models,
C++ torch::Tensor serialization,Cool!! I just checked that I can both save and load torch::Tensors and std::vector<torch::Tensor>s with the latest macOS libtorch! Closing this now :)
"Differentiable 1-D, 2-D covariance (numpy.cov) clone",It'd be insanely useful to have a PyTorch version of `numpy.cov`!
Compiling from master yields std::runtime_error,"@pietern Thanks for tracking this.

Yet, I've been able ""overcome"" this somehow by compiling PyTorch again with a git clean -fdx in between, thus I don't have the logs for the failed compilation.

I just tried again with the same command line I ran this morning and the error doesn't occur. I'll investigate a little bit more on my side, to see if I can reproduce this, and will follow up on this topic."
Improved documentation of distributed launch utility,Thanks for reporting! We are aware of this confusing doc issue and are actively working on remediating it. Please track our progress in https://github.com/pytorch/pytorch/issues/60754. Closing in favor of 60754.
