x,z,y
Ruby Library,Also added a Homebrew formula so users can now do:\r\n\r\n```sh\r\nbrew install libtorch\r\n```\r\n\r\nhttps://github.com/Homebrew/homebrew-core/pull/47222,Users can execute :\r\n\r\n```sh\r\nbrew install libtorch\r\n```
[jit] Spurious error when type comments are found in the body of a function.,Oh sorry I see it has been fixed.,This issue has been fixed
[jit] Cannot create a `Tuple[List[T]]`,"This is expected behavior. In python tuple(x) would return a tuple of [T, ...] which is an unknown length. In the second example you're creating a Tuple[List[T]], which has a fixed length so we can compile it.","This is expected behavior. In python tuple(x) would return a tuple of [T, ...] which is an unknown length."
RuntimeError: stack.size() >= num_inputs INTERNAL ASSERT FAILED,Closed with #31724,This issue has been fixed
failed to convert torch.jit.ScriptModule to ONNX (crash),"@linronmo, as I explained above, the change for flatten could only be done for opset 11.
So you can export your model in opset_version=11, for that, you should use the parameter opset_version=11 in the exporter api with PyTorch nighly: torch.onnx.export(..., opset_version=11).","Please specify the parameter `torch.onnx.export(..., opset_version=11).`"
[Bug report] RuntimeError: backward_input can only be called in training mode,"@simon555 You only set training mode before the loop, but set eval mode in generate_predictions, which is called in the middle of the loop. So iterations after generate_predictions will fail.",The mode i.e. train/eval needs to be consistent throughout the training loop.
[Caffe2] Windows build errors in generated file caffe2.pb.h,I remember I've seen this issue before.\r\n\r\nIt's related to a funny combination of `nvcc` and `protobuf` actually if my memory is correct.\r\n`PROTOBUF_CONSTEXPR` is defined to constexpr.\r\nHowever in nvcc 9.1 you need to get rid of it in order to do in-place initialization.\r\n\r\nSo...the solution is to patch protobuf...\r\n\r\nBTW this issue is on protobuf 3.5.\r\n`master` branch of protobuf should not have this issue but it has something else...,It's related to a funny combination of `nvcc` and `protobuf` actually if my memory is correct.\r\n`PROTOBUF_CONSTEXPR` is defined to constexpr.\r\nHowever in nvcc 9.1 you need to get rid of it in order to do in-place initialization.\r\n\r\nSo...the solution is to patch protobuf...
Segmentation fault on importing torch,"I assume `pip install git+https://github.com/mwydmuch/ViZDoom` compiles ViZDoom, correct? In that case, since your system compiler is GCC 4.84, it will be incompatible with PyTorch bindings, since we compile with GCC 4.9 and the two are ABI incompatible, which leads to segfaults.\r\n\r\nYou should either:\r\nA) Compile PyTorch from source, with your system compiler. Then both projects will have been compiled with the same compiler and the problem goes away.\r\nB) Install GCC 4.9 ([see instructions here](https://gist.github.com/goldsborough/d466f43e8ffc948ff92de7486c5216d6)) and set the `CXX` environment variable before compiling VizDoom (`export CXX=g++-4.9`). Then VizDoom should be compiled with the same compiler as PyTorch and the problem should go away.\r\n\r\nEither way, you have to make sure both are compiled with the same compiler version.",You have to make sure both are compiled with the same compiler version. \n Either compile PyTorch from source or install  GCC 4.9
[feature request] [pytorch] Convenience method for doing unsqueeze / squeeze several times,"Why not using numpy manner? \r\n`x[..., None, None]` and `x[..., 0,0]` for your example","Use the following \r\n`x[..., None, None]` and `x[..., 0,0]` in your example"
np.repeat vs torch.repeat,"Easiest thing to do for now is to add a warning to the docs. One day we'll probably re-visit the all the differences between the Numpy API and pytorch API, but for now, just changing repeat might be disruptive to our users.

Feel free to submit a pull request @PetrochukM (otherwise, I can submit one).",The two APIs have a different behavior.
[JIT]torch._C._infer_size throws an exception when traced,"Got it! I think this should work fine for most of our use cases, since this is only called when distribution instances are being constructed, after which the parameters are frozen and should have a fixed shape. One possible downside might be that we will need to pass tensors with the correct shape in the torch.trace annotation, and that can get tricky if it depends on the minibatch size. So eventually, it will be nice to have a more generic support for JIT. cc. @fritzo, @eb8680.",You need to pass tensors with the correct shape in the torch.trace annotation
question: where (if) are the caffe2 libraries?,Caffe2 only has packages in conda at the moment. 'conda install -c caffe2 caffe2' will install the Caffe2 libraries into an Anaconda env; they will be linked against other libraries in the Anaconda env as well.,"To install the Caffe2 libraries, use  'conda install -c caffe2 caffe2' "
failed to move parameters to GPU,or make self.conv = nn.ModuleList(),"To fix this, use `self.conv = nn.ModuleList()`"
"Inconsistent behavior of F.conv2d(...,padding) and F.pad",Got it. I think you mean `torch.backends.cudnn.deterministic=True`,You need to set `torch.backends.cudnn.deterministic=True`
"[Caffe2] ld: can't map file, errno=22 file '/usr/local/cuda/lib/stubs/cuda.framework' for architecture x86_64","You'll need to do a clean build from scratch. Also, you'll still need a cuda.framework fix of some sort or another. Working on a more robust version of this fix.",You'll need to do a clean build from scratch
"[feature request] Clarify document to avoid \""Error Importing cuda extension\""","Once your extension is built, you can simply import it in Python, using the name you specified in your setup.py script. Just be sure to import torch first, as this will resolve some symbols that the dynamic linker must see:","You need to import torch first, as this will resolve some symbols that the dynamic linker must see:"
RuntimeError: cuda runtime error (30) : unknown error at /pytorch/aten/src/THC/THCGeneral.cpp:70,is there something in your LD_LIBRARY_PATH that might override general RPATH? For example do you have cuda 9.2 in your LD_LIBRARY_PATH?,Please ensure that there isn't any path in LD_LIBRARY_PATH that might override general RPATH
[pytorch] [feature request] Add torch.broadcast (e.g. for using with torch.stack),"We have a helper `torch.distributions.utils.broadcast_all()` that should allow you to\r\n```py\r\ntorch.stack(broadcast_all(a, b))\r\n```","The helper function `torch.distributions.utils.broadcast_all()` that should allow you to\r\n```py\r\ntorch.stack(broadcast_all(a, b))\r\n```"
Python interpreter died without Traceback when CPU Tensor divided by zero.,"As tricky as this may be to fix, it's still a bug in a very real sense. Allowing C errors to creep into Python code is the result of a leaky abstraction.",This error is the result of a leaky abstraction.
Inconsistent gradient results in F.grid_sample using torch.autograd.grad with create_graph=True," confirmed with @apaszke as well that this is expected behavior.

He says:

because create_graph=True, this is expected.
In the a+b case, basically the gradient of the gradient (wrt parameters) is all 0, which means it doesn’t require grad, because it effectively never touched a single variable that does require grad.",This is an expected behavior and not a bug.
AttributeError: module 'torch._C' has no attribute '_TensorBase',Can you try uninstall and reinstall? I'm assuming that you built from source. Can you also check if you have binary pytorch installed?,Try to reinstall and make sure that you have binary pytorch installed.
Feature request: Object detection model zoo,Torchvision now has models for object detection and semantic segmentation officially supported,Torchvision now has models for object detection and semantic segmentation officially supported
"dynamically change tensor with requires_grad=False by \""+=\"" cause error but \""+\"" doesn't","`x = x + y` is something very different from `x += y` for Python semantics. The latter creates a new variable, the former modifies the variable in place.","`x = x + y` is something very different from `x += y` for Python semantics. The latter creates a new variable, the former modifies the variable in place."
python setup.py install failed. undefined references,We had the same issue. Problem was the version of MKL which was not good. Just running:\r\n\r\n```\r\nconda remove mkl mkl-include\r\nconda install numpy pyyaml mkl=2019.3 mkl-include setuptools cmake cffi typing\r\n```\r\n\r\nbefore the installation fixed the issue.,You need to run :\r\n\r\n```\r\nconda remove mkl mkl-include\r\nconda install numpy pyyaml mkl=2019.3 mkl-include setuptools cmake cffi typing\r\n```\r\n\r\nbefore the installation to fix the issue.
THCudaCheck FAIL file=..\\aten\\src\\THC\\THCGeneral.cpp line=87 error=30 : unknown error,somehow restarting my machine fixed this issue. using torch v1.1.0,Restarting the machine can fix this issue.
torchfile.T7ReaderException: unknown object type / typeidx: -1112529805,"Please try appending the parameter long_size like this `load_lua(....., long_size=8)`.","You need to append the parameter long_size like this `load_lua(....., long_size=8)`."
RuntimeError: CUDA error: unknown error,I had exactly the same issue. i got it fixed by installing the right pytorch version for my 10.1 CUDA with:\r\n`conda install pytorch torchvision cudatoolkit=10.1 -c pytorch`\r\ninstead of installing it with the installtion snippet generated for me by pytorch website:\r\n`conda install pytorch torchvision cudatoolkit=10.0 -c pytorch`\r\n,You need to install the right pytorch version for 10.1 CUDA with:\r\n`conda install pytorch torchvision cudatoolkit=10.1 -c pytorch`\r\ninstead of installing it with the installtion snippet generated by pytorch website:\r\n`conda install pytorch torchvision cudatoolkit=10.0 -c pytorch`\r\n
optim.lr_scheduler.CyclicLR (master only: not released) is buggy when not using momentum,"I think you are correct, if you indent the second and third to last lines in the init it works.",It can be fixed by indenting the second and third to last lines in the init
Different deterministic behavior between CPU and CUDA for orthogonal initialization,"This is expected. We do not guarantee that the random sequences generated on different devices will look the same. For performance reasons they are likely using different pseudo random generators, so it's almost impossible to make them equal.",This is expected. It is not guaranteed that the random sequences generated on different devices will look the same.
C++ torch::Tensor serialization,Cool!! I just checked that I can both save and load torch::Tensors and std::vector<torch::Tensor>s with the latest macOS libtorch! Closing this now :),"Using  the latest macOS libtorch, one can both save and load torch::Tensor and std::vector<torch::Tensor>"
Compiling from master yields std::runtime_error,"@pietern Thanks for tracking this.

Yet, I've been able ""overcome"" this somehow by compiling PyTorch again with a git clean -fdx in between, thus I don't have the logs for the failed compilation.

I just tried again with the same command line I ran this morning and the error doesn't occur. I'll investigate a little bit more on my side, to see if I can reproduce this, and will follow up on this topic.","You need to compile PyTorch again with a git clean -fdx in between, "
Improved documentation of distributed launch utility,Thanks for reporting! We are aware of this confusing doc issue and are actively working on remediating it. Please track our progress in https://github.com/pytorch/pytorch/issues/60754. Closing in favor of 60754.,We are working on this.
test_dataloader.py fails to pass test with error: Can't get attribute 'RandomDataset'... on MacOS,"Created a conda env with Python=3.7, followed the same steps to install Pytorch and tried to reproduce the issue.\r\n\r\ntest_dataloader.py passes the test.\r\n\r\nSeems that it is an issue related to Python 3.8 on Mac",This is an issue related to Python 3.8 on Mac
[package] error in colab tutorial #60189,This error is intentional—you need to specify how you will handle your dependencies. Further along in the tutorial there is guidance on how to resolve the error.,This error is intentional—you need to specify how you will handle your dependencies. Further along in the tutorial there is guidance on how to resolve the error.
USE_SYSTEM_ONNX: onnx/optimizer/optimize.h: No such file or directory,"I got the same error, and I fixed it by updating the submodules:\r\n```\r\ngit submodule sync\r\ngit submodule update --init --recursive\r\n```",You need to update the submodules:\r\n```\r\ngit submodule sync\r\ngit submodule update --init --recursive\r\n```
Can I train AI If AI model is located in the another model’s forward?,You may want to add model2 to an attribute of model1 in \\_\\_init\\_\\_. Then the parameters of model1 include that of model2 and so model2 would be trained.\r\n\r\nfyi questions are supposed to be posted to https://discuss.pytorch.org/ as it's more likely you will get help there.,You may want to add model2 to an attribute of model1 in \\_\\_init\\_\\_. Then the parameters of model1 include that of model2 and so model2 would be trained.\r\n\r\n
M1 Mac: `torch.dot()` returns unexpeted values for tensors of `torch.float32`,Will be fixed in next nightly build,This will be fixed in the next nightly build.
it seems n_heads is not handled correctly in nn.MultiheadAttention,"As a simple workaround, couldn't you pass embed_dim * num_heads as the embed_dim? When it is divided amongst the heads, it should result in what you want.",You can pass embed_dim * num_heads as the embed_dim
`test_transpose_inplace_view_xla` & `test_t_inplace_view_xla` are flaky,@imaginary-person This test was failing consistently on master yesterday so I disabled them for XLA first. @bdhirsh and I will look into the root cause later today. Thanks for reporting!,You need to diable them for XLA.
Does the NCCL operation use the default stream as other computations?,"The nccl implementation under the hood uses a custom stream pool and each time you launch collective operations, appropriate synchronizations are done automatically. So before the allreduce is launched, the nccl stream synchronizes with the default stream to capture computations appropriately. Also, after nccl allreduce is done, the default stream synchronizes with the nccl stream. As a result, you don't need to perform any synchronizations.\r\n\r\nIf you provide `async_op=True` to all_reduce, the synchronization will not be done after allreduce and only when you call `work.wait()`. So if you want to overlap computation that is not related to nccl allreduce, you can use the async_op option.","If you provide `async_op=True` to all_reduce, the synchronization will not be done after allreduce and only when you call `work.wait()`. So if you want to overlap computation that is not related to nccl allreduce, you can use the async_op option."
Add container for recurrent nets,"No, definitely not to `Module`. We can consider adding a base class for RNNs","No, definitely not to `Module`. We can consider adding a base class for RNNs"
Support for einsum notation,"Yeah, Pytorch lacks this. I can implement the feature",Support for einsum notation has been added
GPU usage extremely in-balance for segmentation task,"The code hasn't been released yet. You can leave the device_ids empty and use CUDA_VISIBLE_DEVICES=0,1 to control the number of GPUs","Leave the device_ids empty and use CUDA_VISIBLE_DEVICES=0,1 to control the number of GPUs"
How to select GPU programmatically in code,"```\r\nimport os\r\nos.environ[\""CUDA_DEVICE_ORDER\""]=\""PCI_BUS_ID\"" \r\nos.environ[\""CUDA_VISIBLE_DEVICES\""]=\""1\""\r\n```\r\n\r\nAre you looking for this?","```\r\nimport os\r\nos.environ[\""CUDA_DEVICE_ORDER\""]=\""PCI_BUS_ID\"" \r\nos.environ[\""CUDA_VISIBLE_DEVICES\""]=\""1\""\r\n```\r\n"
Pooling throws an exception in Tegra TX1,"this is a weird error. Are you sure CuDNN is being detected at compile time?

You might have to set CUDNN_INCLUDE_DIR and CUDNN_LIB_DIR environment variables.
You can check cudnn's status with: print(torch.backends.cudnn.enabled)","You might have to set `CUDNN_INCLUDE_DIR` and `CUDNN_LIB_DIR` environment variables.
"
[Feature Request] Cyclical Learning Rates,"Hi. I am the puller of LR Scheduler. IMO, you should be able to easily implement this using class LambdaLR. @ajbrock

",This can be easily implemented using class `LambdaLR`
Get a single batch from DataLoader without iterating,`next(iter(data_loader))` ?,Use `next(iter(data_loader))` 
Different behaviour of BCEWithLogitsLoss and BCELoss + Sigmoid,"Thanks for reporting this @martinarjovsky.

@soumith not sure this is a valid use of the losses - i.e. the output and target have different shapes (one is batched and one is not)?

Because of the different shapes the broadcasting has side effects (https://github.com/gchanan/pytorch/wiki/Broadcasting-Notes#backwards-compatibility)

According to the docstrings of binary_cross_entropy and binary_cross_entropy_with_logits the input and target should have the same shape. Shall we just add a check and raise a ValueError if they are not? Happy to send a PR for this",The behavior is same if `binary_cross_entropy` and `binary_cross_entropy_with_logits` the input and target should have the same shape
[pylint] E1101:Module 'torch' has no 'squeeze' member,"On VS code:
Add ""python.linting.enabled"": false to the settings file. Worked for me.","You need to change the settings for your editor. On VS code, you need to add ""python.linting.enabled"": false to the settings file."
[Feature Request] Layer Normalization,"I use this:\r\n\r\n```python\r\nclass LayerNorm(nn.Module):\r\n\r\n def __init__(self, features, eps=1e-6):\r\n super().__init__()\r\n self.gamma = nn.Parameter(torch.ones(features))\r\n self.beta = nn.Parameter(torch.zeros(features))\r\n self.eps = eps\r\n\r\n def forward(self, x):\r\n mean = x.mean(-1, keepdim=True)\r\n std = x.std(-1, keepdim=True)\r\n return self.gamma * (x - mean) / (std + self.eps) + self.beta\r\n```","This code segment can acheive layer normalization:\r\n\r\n```python\r\nclass LayerNorm(nn.Module):\r\n\r\n def __init__(self, features, eps=1e-6):\r\n super().__init__()\r\n self.gamma = nn.Parameter(torch.ones(features))\r\n self.beta = nn.Parameter(torch.zeros(features))\r\n self.eps = eps\r\n\r\n def forward(self, x):\r\n mean = x.mean(-1, keepdim=True)\r\n std = x.std(-1, keepdim=True)\r\n return self.gamma * (x - mean) / (std + self.eps) + self.beta\r\n```"
Import fails after Conda install,"your `cudatoolkit` from anaconda is build 2, which had a bug. Anaconda team fixed this in build 3. Do this: `conda install cudatoolkit`, and that should install build 3.",You need to install the latest build via `conda install cudatoolkit`
ReduceOps are breaking Pyro test,"I found the bug, I'll send a patch soon.",This issue has been fixed.
Linux CPU build script fails as MKL header files not found,"If you are not using conda, pip install mkl-devel gets you the headers. I haven't looked at your CI script. @SsnL can we add this to the error message?

","To install the header files, use `pip install mkl-devel`"
